"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value"
"SL","2017-05-17","89.1","1.0357","6.4197","Clayton Kershaw",457763,477132,"null","swinging_strike",,,,,"7","null","R","R","L","SF","LAD","S","null","null",2,1,2017,"0.3678","1.2737","-0.4212","1.4705","null","null","null",0,5,"Bot","null","null",,,518735,,"170517_205737",,,,,,,"3.4110","1.5650","null","null","null","88.0360","2458","5.7950",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.7057","0.000","0.000","null","null","null","null"
"FF","2017-05-17","93.8","1.1533","6.2612","Clayton Kershaw",457763,477132,"null","ball",,,,,"13","null","R","R","L","SF","LAD","B","null","null",1,1,2017,"-0.2613","2.1138","-1.0801","1.1777","null","null","null",0,5,"Bot","null","null",,,518735,,"170517_205718",,,,,,,"3.4110","1.5650","null","null","null","92.8690","2216","6.2600",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.2414","0.000","0.000","null","null","null","null"
"CH","2017-05-17","86.2","1.3717","6.3357","Clayton Kershaw",457763,477132,"null","ball",,,,,"14","null","R","R","L","SF","LAD","B","null","null",0,1,2017,"-1.1253","1.6601","0.9861","1.0665","null","null","null",0,5,"Bot","null","null",,,518735,,"170517_205701",,,,,,,"3.4110","1.5650","null","null","null","85.3100","2115","5.9380",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.5631","0.000","0.000","null","null","null","null"
"FF","2017-05-17","93.6","1.1138","6.3147","Clayton Kershaw",457763,477132,"null","called_strike",,,,,"9","null","R","R","L","SF","LAD","S","null","null",0,0,2017,"-0.1490","1.9970","0.4786","2.0615","null","null","null",0,5,"Bot","null","null",,,518735,,"170517_205646",,,,,,,"3.4110","1.5650","null","null","null","93.1200","2258","6.1710",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.3304","0.000","0.000","null","null","null","null"
"CU","2017-05-17","73.2","0.4227","6.5323","Clayton Kershaw",624414,477132,"grounded_into_double_play","hit_into_play",,,,,"3","Christian Arroyo grounds into a double play, shortstop Corey Seager to second baseman Chris Taylor to first baseman Chase Utley.   Justin Ruggiano out at 2nd.  ","R","R","L","SF","LAD","X","6","ground_ball",1,2,2017,"-0.2807","-1.0700","0.5194","3.2192","null","null","448605.00",1,4,"Bot","111.11","150.77",,,"null",,"170517_204953",,,,,,,"3.4110","1.5650","26","89.6","-6.4822","null","2208","5.4832",490698,"null","null","null","null","null","null","null","null","null","55.0183","0.233","0.220","0.00",1,0,0
"SL","2017-05-17","87.2","0.9702","6.3384","Clayton Kershaw",624414,477132,"null","ball",,,,,"12","null","R","R","L","SF","LAD","B","null","null",0,2,2017,"0.1955","0.8757","1.1399","2.8723","null","null","448605.00",1,4,"Bot","null","null",,,518735,,"170517_204928",,,,,,,"3.4110","1.5650","null","null","null","85.9940","2437","5.7730",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.7281","0.000","0.000","null","null","null","null"
"FF","2017-05-17","93.5","0.8384","6.2572","Clayton Kershaw",624414,477132,"null","foul",,,,,"6","null","R","R","L","SF","LAD","S","null","null",0,1,2017,"-0.3901","1.8710","0.3993","2.3235","null","null","448605.00",1,4,"Bot","null","null",,,518735,,"170517_204816",,,,,,,"3.4110","1.5650","null","null","null","93.6180","2296","6.3820",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.1191","0.000","0.000","null","null","null","null"
"FF","2017-05-17","93.1","0.9176","6.3895","Clayton Kershaw",624414,477132,"null","foul",,,,,"3","null","R","R","L","SF","LAD","S","null","null",0,0,2017,"-0.2132","2.1616","0.6193","3.1593","null","null","448605.00",1,4,"Bot","null","null",,,518735,,"170517_204745",,,,,,,"3.4110","1.5650","null","null","null","92.1100","2368","6.0450",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.4560","0.000","0.000","null","null","null","null"
"SL","2017-05-17","88.5","1.0279","6.4479","Clayton Kershaw",448605,477132,"single","hit_into_play_no_out",,,,,"13","Justin Ruggiano singles on a line drive to center fielder Joc Pederson.  ","R","R","L","SF","LAD","X","null","line_drive",0,1,2017,"0.6262","1.0480","-0.9095","2.2059","null","null","null",1,4,"Bot","115.37","135.60",,,518735,,"170517_204643",,,,,,,"3.3710","1.5350","159","65.4","19.9520","88.0400","2459","5.9060",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.5945","0.651","0.604","0.90",1,1,0
"FF","2017-05-17","93.3","1.0924","6.2978","Clayton Kershaw",448605,477132,"null","called_strike",,,,,"7","null","R","R","L","SF","LAD","S","null","null",0,0,2017,"-0.4363","2.3294","-0.8033","2.0052","null","null","null",1,4,"Bot","null","null",,,518735,,"170517_204625",,,,,,,"3.3710","1.5350","null","null","null","92.2720","2445","6.3400",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.1615","0.000","0.000","null","null","null","null"
"FF","2017-05-17","93.2","1.0194","6.3270","Clayton Kershaw",456488,477132,"field_out","hit_into_play",,,,,"3","Eduardo Nunez grounds out, second baseman Chris Taylor to first baseman Chase Utley.  ","R","R","L","SF","LAD","X","4","ground_ball",1,2,2017,"0.0197","1.8211","0.4334","2.8022","null","null","null",0,4,"Bot","139.02","146.70",,,518735,,"170517_204552",,,,,,,"3.3710","1.5350","85","99.1","2.1750","92.2740","2382","6.0450",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.4565","0.507","0.473","0.00",1,0,0
"SL","2017-05-17","84.1","1.0978","6.4491","Clayton Kershaw",456488,477132,"null","foul",,,,,"13","null","R","R","L","SF","LAD","S","null","null",1,2,2017,"0.4777","0.3637","-0.3044","1.2574","null","null","null",0,4,"Bot","null","null",,,518735,,"170517_204526",,,,,,,"3.3710","1.5350","null","null","null","83.3770","null","5.5570",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.9436","0.000","0.000","null","null","null","null"
"FF","2017-05-17","93.3","1.1307","6.3086","Clayton Kershaw",456488,477132,"null","ball",,,,,"14","null","R","R","L","SF","LAD","B","null","null",0,2,2017,"-0.5517","2.1422","1.5514","1.2150","null","null","null",0,4,"Bot","null","null",,,518735,,"170517_204508",,,,,,,"3.3710","1.5350","null","null","null","93.1860","2342","6.3640",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.1374","0.000","0.000","null","null","null","null"
"CU","2017-05-17","73.4","0.6331","6.5983","Clayton Kershaw",456488,477132,"null","foul",,,,,"14","null","R","R","L","SF","LAD","S","null","null",0,1,2017,"-0.2356","-0.8925","0.0410","1.2698","null","null","null",0,4,"Bot","null","null",,,518735,,"170517_204441",,,,,,,"3.3710","1.5350","null","null","null","71.8960","2333","5.4320",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"55.0689","0.000","0.000","null","null","null","null"
"FF","2017-05-17","92.8","1.1867","6.4062","Clayton Kershaw",456488,477132,"null","foul",,,,,"5","null","R","R","L","SF","LAD","S","null","null",0,0,2017,"-0.1795","2.2753","-0.1913","2.5226","null","null","null",0,4,"Bot","null","null",,,518735,,"170517_204416",,,,,,,"3.3710","1.5350","null","null","null","92.0710","2349","6.2050",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.2963","0.000","0.000","null","null","null","null"
"CU","2017-05-17","73.9","0.6594","6.5797","Clayton Kershaw",456501,477132,"field_out","hit_into_play",,,,,"8","Johnny Cueto grounds out softly, shortstop Corey Seager to first baseman Chase Utley.  ","R","R","L","SF","LAD","X","6","ground_ball",0,2,2017,"-0.1461","-0.9181","-0.0448","2.0876","null","null","null",2,3,"Bot","111.62","155.35",,,518735,,"170517_203347",,,,,,,"3.4110","1.5650","6","72.3","-25.4820","72.9420","2106","5.5670",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.9338","0.044","0.042","0.00",1,0,0
